sessionID,command_id,distance,direction,anomalyScore,isAnomaly
CLI-20260723-015112,5,6.90137,3.13188,5.56211e-06,0
CLI-20260723-015112,6,3.23666,-1.47529,1.32832e-05,0
CLI-20260723-015112,7,2.40831,2.09698,6.93157e-06,0
CLI-20260723-015112,8,0.166955,1.99242,4.98e-06,0
CLI-20260723-015112,9,1.77566,-2.46907,1.25577e-05,0
CLI-20260723-015112,10,3.09378,0.843442,6.59863e-06,0
CLI-20260723-015112,11,1.42986,-0.480188,8.71876e-06,0
CLI-20260723-015125,2,11.5782,0.861509,2.69855e-05,0
CLI-20260723-015125,3,0.194562,-2.66882,8.25397e-05,0
CLI-20260723-015125,4,8.75852,-2.21109,8.38004e-06,0
CLI-20260723-015125,6,6.12534,0.758139,2.65555e-05,0
CLI-20260723-015125,7,0.420556,1.48638,5.15342e-06,0
CLI-20260723-015125,8,3.37538,1.98917,6.86843e-06,0
CLI-20260723-015125,9,0.403783,-1.92812,5.86195e-06,0
CLI-20260723-015125,10,1.67062,-0.411148,8.033e-06,0
CLI-20260723-015125,11,0.075285,2.67397,4.99214e-06,0
CLI-20260723-015146,2,11.1422,1.07209,2.32103e-05,0
CLI-20260723-015146,3,4.67381,-0.575584,1.5543e-05,0
CLI-20260723-015146,4,0.056069,-1.33886,1.80577e-05,0
CLI-20260723-015146,5,6.66029,-1.79887,1.08348e-05,0
CLI-20260723-015146,6,1.31769,0.097088,2.67467e-05,0
CLI-20260723-015146,7,3.02699,-2.98812,3.86607e-06,0
CLI-20260723-015146,8,2.95681,1.23373,1.25007e-05,0
CLI-20260723-015146,9,1.64348,-0.47032,1.15432e-05,0
CLI-20260723-015146,10,3.77551,2.18866,5.43237e-06,0
CLI-20260723-015146,11,3.74623,0.864952,5.5615e-06,0
CLI-20260723-015159,2,3.50736,1.21862,1.98462e-05,0
CLI-20260723-015159,3,6.14361,0.267734,1.29427e-05,0
CLI-20260723-015159,4,6.33115,2.54367,4.90858e-06,0
CLI-20260723-015159,5,3.34705,-1.76293,2.75506e-05,0
CLI-20260723-015159,6,5.07514,1.12558,9.81164e-06,0
CLI-20260723-015159,7,2.07871,-0.240656,9.73945e-06,0
CLI-20260723-015159,9,1.2745,-3.0198,2.88367e-06,0
CLI-20260723-015159,10,3.03044,-3.01354,4.18783e-06,0
CLI-20260723-015159,11,0.433892,-1.18151,8.78919e-06,0
CLI-20260723-015215,2,5.97998,1.35098,2.88463e-05,0
CLI-20260723-015215,4,1.57343,1.71205,6.71749e-06,0
CLI-20260723-015215,5,6.45425,-0.813227,1.27433e-05,0
CLI-20260723-015215,6,1.62781,2.89521,5.14495e-06,0
CLI-20260723-015215,7,4.08773,1.93647,7.57119e-06,0
CLI-20260723-015215,8,3.22119,1.87134,4.12419e-06,0
CLI-20260723-015215,9,1.44115,-1.74926,8.27498e-06,0
CLI-20260723-015215,10,8.74426,-0.168009,1.29635e-05,0
CLI-20260723-015215,11,3.80849,-2.38349,5.62236e-06,0
CLI-20260723-015234,2,7.28877,1.41111,3.17163e-05,0
CLI-20260723-015234,3,2.95206,-1.71227,1.0959e-05,0
CLI-20260723-015234,4,7.06748,-0.374046,4.52902e-05,0
CLI-20260723-015234,5,1.15753,0.813331,1.30355e-05,0
CLI-20260723-015234,8,6.66868,2.26299,7.68643e-06,0
CLI-20260723-015234,9,3.15643,-1.81568,5.5251e-06,0
CLI-20260723-015234,10,2.64851,-2.66995,3.69971e-06,0
CLI-20260723-015250,2,6.83777,1.17737,1.12214e-05,0
CLI-20260723-015250,3,1.11758,-2.09907,1.25286e-05,0
CLI-20260723-015250,4,1.90909,1.1855,6.62492e-06,0
CLI-20260723-015250,5,1.25261,-2.89114,2.99246e-06,0
CLI-20260723-015250,6,2.76326,0.536142,7.09585e-06,0
CLI-20260723-015250,7,1.41407,-0.955289,9.99858e-06,0
CLI-20260723-015250,8,4.75203,-1.1104,7.66042e-06,0
CLI-20260723-015250,9,5.4586,1.61128,1.0208e-05,0
CLI-20260723-015250,10,3.0932,0.309256,7.32662e-06,0
CLI-20260723-015250,11,10.4888,-2.37865,8.3702e-06,0
CLI-20260723-015320,2,10.1173,1.5708,7.51934e-05,0
CLI-20260723-015320,3,5.48992,1.5708,1.23476e-05,0
