timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,call_depthobstructed?call_depth,response_time(ns)
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,4,0,0,0.674563,-2.40224,0,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,4, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,5,0,0,0.155382,2.66752,0,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,5, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,6,0,0,1.11759,-2.05428,0,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,6, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,7,0,0,1.34665,0.379533,0,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,7, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,8,1.25393,0.500157,1.4594,-0.904139,1.35,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,8, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,9,1.62495,0.0286213,0.710859,0.781416,0.6,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,9, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,10,2.15739,0.556835,0.571585,-2.70869,0.75,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,10, 
20260723-001125,server,CLI-20260723-001124,handle_request()RECEIVED_MOVE,move, ,1,11,1.61274,0.305129,1.57349,-1.27901,0.6,97692931423398,140737162384008,140737162384016,140737162384144,140737162384144,128597893963904,3,140737162385112,n/a,11, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,0.441751,1.89515,0,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,2, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,3,0,0,0.871066,-1.00753,0,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,3, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,4,0,0,0.785078,1.73345,0,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,4, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,5,0,0,0.382872,-1.00622,0,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,5, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,6,0,0,0.4205,2.10727,0,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,6, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,7,0,0,0.92692,-1.5406,0,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,7, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,8,0,0,1.73151,0.271581,0,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,8, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,9,1.68586,0.469446,1.27662,2.61129,1.75,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,9, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,10,0.564405,1.12697,0.546157,-0.836738,1.3,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,10, 
20260723-001143,server,CLI-20260723-001140,handle_request()RECEIVED_MOVE,move, ,1,11,0.932844,0.718619,1.77152,0.192585,0.55,95429531151526,140721151926120,140721151926128,140721151926256,140721151926256,126023539220608,3,140721151927224,n/a,11, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,0.15282,1.74755,0,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,2, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,3,0,0,0.779705,-3.03025,0,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,3, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,4,0,0,1.6113,-0.275711,0,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,4, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,5,0,0,0.340743,-2.95015,0,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,5, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,6,0,0,1.66,-1.84841,0,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,6, 
