timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,obstructed?,call_depth,response_time(ns)
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,9,4.03896,2.29922,1.55037,2.67758,1.6,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,27,1393568ns
20260723-001040,client,CLI-20260723-001039,move_robot()BEFORE_SERVICE_CALL,move, ,1,10,4.03896,2.29922,1.42963,-0.996904,0,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,n/a,29,69ns
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,10,4.82617,1.08151,1.42963,-0.996904,1.45,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,30,4474223ns
20260723-001040,client,CLI-20260723-001039,move_robot()BEFORE_SERVICE_CALL,move, ,1,11,4.82617,1.08151,1.86482,3.10924,0,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,n/a,32,48ns
20260723-001040,client,CLI-20260723-001039,move_robot()AFTER_SERVICE_CALL,move, ,1,11,2.92717,1.14297,1.86482,3.10924,1.9,105696227608339,140725946486440,140725946486448,140725946486592,140725946486592,136280149713024,3,140725946487624,success,33,2827607ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,2,0,0,1.86082,-0.45816,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,5,73ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,2,0,0,1.86082,-0.45816,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,obstructed,6,95045974ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,3,0,0,0.123421,1.61441,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,8,60ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,3,0,0,0.123421,1.61441,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,obstructed,9,5583640ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,4,0,0,0.924031,-1.0526,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,11,78ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,4,0,0,0.924031,-1.0526,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,obstructed,12,15592095ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,5,0,0,0.055722,-2.84898,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,14,62ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,5,0,0,0.055722,-2.84898,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,obstructed,15,8440316ns
